City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,DateTime
Leipzig,51.34,12.38,66.99,72.0,75.0,21.92,DE,1591198305
Shirokiy,49.76,129.52,52.75,91.0,100.0,7.14,RU,1591198434
Stornoway,58.21,-6.39,51.8,71.0,75.0,9.17,GB,1591198434
Constitucion,-35.33,-72.42,55.53,71.0,32.0,2.8,CL,1591198434
Tsihombe,,,,,,,,
Dong Hoi,17.48,106.6,81.99,74.0,74.0,7.0,VN,1591198434
Bangkalan,-7.05,112.74,79.05,79.0,100.0,9.95,ID,1591198434
Riyadh,24.69,46.72,107.6,18.0,20.0,8.7,SA,1591198207
Andarab,,,,,,,,
Isla Vista,34.41,-119.86,75.99,82.0,40.0,4.7,US,1591198435
Grindavik,63.84,-22.43,48.2,81.0,75.0,9.17,IS,1591198435
Xining,36.62,101.77,54.46,54.0,71.0,1.97,CN,1591198236
Olafsvik,64.89,-23.71,46.96,87.0,38.0,5.14,IS,1591198435
Mmabatho,-25.85,25.63,71.6,33.0,0.0,3.36,ZA,1591198436
Puerto Cabezas,14.04,-83.39,84.34,75.0,100.0,9.95,NI,1591198436
Howard Springs,-12.5,131.05,71.6,33.0,60.0,6.93,AU,1591198436
Hambantota,6.12,81.12,82.4,78.0,15.0,5.82,LK,1591198436
Ambodifototra,,,,,,,,
Traismauer,48.35,15.76,64.0,63.0,87.0,2.71,AT,1591198436
Kidal,18.44,1.41,111.15,9.0,60.0,7.74,ML,1591198436
Nakhon Thai,17.1,100.84,86.0,37.0,98.0,2.39,TH,1591198437
Peterhead,57.51,-1.8,50.0,87.0,75.0,19.46,GB,1591198437
Sambava,-14.27,50.17,75.11,84.0,37.0,17.07,MG,1591198437
Namibe,-15.2,12.15,77.0,78.0,20.0,12.75,AO,1591198437
Salinas,36.68,-121.66,68.0,68.0,1.0,0.54,US,1591198200
Berberati,4.26,15.79,74.7,82.0,95.0,3.22,CF,1591198437
Port Hardy,50.7,-127.42,50.0,87.0,20.0,2.24,CA,1591198248
Lata,40.16,-8.33,78.01,60.0,20.0,10.29,PT,1591198438
Necochea,-38.55,-58.74,51.01,77.0,100.0,7.0,AR,1591198438
Galle,6.04,80.22,80.33,80.0,10.0,6.2,LK,1591198438
Pangnirtung,66.15,-65.71,35.6,80.0,20.0,10.29,CA,1591198438
San Vicente,-26.62,-54.13,71.22,34.0,0.0,2.28,AR,1591198438
Souillac,-20.52,57.52,71.6,78.0,75.0,11.41,MU,1591198438
Vertientes,21.26,-78.15,84.2,70.0,75.0,11.41,CU,1591198438
Zuwarah,32.93,12.08,73.85,59.0,33.0,16.96,LY,1591198439
Fort Nelson,58.81,-122.7,55.4,47.0,75.0,10.29,CA,1591198439
Quatre Cocos,-20.21,57.76,71.6,78.0,75.0,11.41,MU,1591198439
Tarpa,48.1,22.54,63.0,63.0,60.0,9.17,HU,1591198246
Bubaque,11.28,-15.83,81.91,68.0,0.0,15.7,GW,1591198439
Karkaralinsk,,,,,,,,
Ostersund,63.18,14.64,59.0,77.0,100.0,11.41,SE,1591198203
Arraial Do Cabo,-22.97,-42.03,77.0,73.0,75.0,6.93,BR,1591198440
Bogen,48.91,12.69,75.0,37.0,79.0,6.2,DE,1591198440
Marcona,,,,,,,,
Nyurba,63.28,118.33,54.7,45.0,47.0,2.37,RU,1591198440
Prince Rupert,54.32,-130.32,50.0,87.0,90.0,6.93,CA,1591198440
Guaruja,-23.99,-46.26,71.6,83.0,75.0,1.12,BR,1591198167
Tiznit,29.58,-9.5,78.71,35.0,0.0,10.83,MA,1591198441
Diapaga,12.07,1.79,103.98,21.0,86.0,5.35,BF,1591198441
Tiksi,71.69,128.87,31.06,96.0,4.0,2.08,RU,1591198441
Pathein,16.78,94.73,84.63,73.0,84.0,7.83,MM,1591198441
Najran,17.49,44.13,93.2,28.0,40.0,11.41,SA,1591198441
Sur,22.57,59.53,91.54,45.0,0.0,8.19,OM,1591198441
Severodvinsk,64.56,39.83,69.8,28.0,20.0,2.24,RU,1591198442
Phan Rang,,,,,,,,
Soligalich,59.08,42.29,60.44,67.0,76.0,6.46,RU,1591198442
Davila,18.47,120.58,84.2,83.0,40.0,2.24,PH,1591198442
Taksimo,56.34,114.88,51.94,49.0,70.0,1.92,RU,1591198442
Falealupo,,,,,,,,
Irbit,57.67,63.07,51.8,70.0,7.0,4.79,RU,1591198443
Mayumba,-3.43,10.66,78.85,83.0,87.0,7.78,GA,1591198443
Linapacan,,,,,,,,
Ilulissat,69.22,-51.1,37.4,86.0,75.0,3.36,GL,1591198270
Laguna,38.42,-121.42,79.0,47.0,1.0,3.2,US,1591198307
Ukiah,39.15,-123.21,73.0,68.0,1.0,0.6,US,1591198333
Kavieng,-2.57,150.8,82.62,80.0,92.0,13.35,PG,1591198443
Wilmington,34.23,-77.94,84.0,51.0,1.0,12.75,US,1591198421
Pullman,46.73,-117.18,60.01,62.0,1.0,4.7,US,1591198210
Gushikawa,26.35,127.87,82.4,94.0,1.0,10.29,JP,1591198444
Oistins,13.07,-59.53,87.8,62.0,40.0,20.8,BB,1591198444
Semenivka,52.18,32.58,62.06,73.0,18.0,2.59,UA,1591198444
Haines Junction,60.75,-137.51,44.22,60.0,100.0,4.83,CA,1591198444
Rio Gallegos,-51.62,-69.22,41.0,52.0,75.0,11.41,AR,1591198445
Asau,46.43,26.4,68.0,42.0,40.0,8.05,RO,1591198445
Aban,56.67,96.06,45.0,88.0,44.0,9.98,RU,1591198445
Naftah,,,,,,,,
Sooke,48.37,-123.73,53.01,87.0,75.0,4.7,CA,1591198445
Zemio,5.03,25.14,82.06,73.0,100.0,0.89,CF,1591198445
Illela,13.73,5.3,105.44,18.0,44.0,4.41,NG,1591198445
Quesnel,53.0,-122.5,42.8,93.0,90.0,4.7,CA,1591198446
Bata,1.86,9.77,86.0,84.0,40.0,9.17,GQ,1591198446
Nago,26.59,127.98,82.4,94.0,1.0,10.29,JP,1591198446
Mgandu,-5.95,34.13,68.95,56.0,86.0,6.44,TZ,1591198446
Krasnoselkup,65.7,82.47,51.75,61.0,62.0,12.08,RU,1591198446
Honiara,-9.43,159.95,77.0,100.0,75.0,4.09,SB,1591198446
Bambous Virieux,-20.34,57.76,71.6,78.0,75.0,11.41,MU,1591198447
Niquelandia,-14.47,-48.46,86.58,43.0,14.0,4.36,BR,1591198447
Gat,31.61,34.76,78.01,48.0,0.0,1.01,IL,1591198320
Maputo,-25.97,32.59,73.4,69.0,0.0,10.29,MZ,1591198447
Maceio,-9.67,-35.74,80.6,88.0,75.0,11.41,BR,1591198341
Katherine,-14.47,132.27,60.8,38.0,8.0,6.93,AU,1591198447
Kargasok,59.06,80.86,41.58,80.0,0.0,8.46,RU,1591198447
Sao Filipe,14.9,-24.5,75.88,74.0,27.0,15.23,CV,1591198448
Quepos,9.42,-84.17,78.8,65.0,73.0,2.24,CR,1591198448
Husavik,66.04,-17.34,50.0,71.0,20.0,16.11,IS,1591198448
Mporokoso,-9.37,30.12,67.64,56.0,13.0,0.13,ZM,1591198448
Ahipara,-35.17,173.17,61.05,86.0,1.0,12.86,NZ,1591198448
Oranjemund,-28.55,16.43,62.89,62.0,100.0,7.72,NA,1591198448
Koungou,-12.73,45.2,78.8,69.0,10.0,9.17,YT,1591198448
Saint-Francois,46.42,3.91,68.0,60.0,72.0,16.11,FR,1591198449
Fort Saint James,54.43,-124.25,50.31,48.0,84.0,6.76,CA,1591198449
Bereda,43.27,-7.54,73.0,64.0,33.0,10.0,ES,1591198449
Khasan,42.43,130.64,55.22,95.0,74.0,1.1,RU,1591198449
Laerdalsoyri,61.1,7.48,68.0,34.0,75.0,13.87,NO,1591198449
Satitoa,,,,,,,,
Santa Luzia,-19.77,-43.85,77.0,50.0,20.0,3.36,BR,1591198449
Neiafu,-18.65,-173.98,78.8,78.0,40.0,10.29,TO,1591198450
Belen,36.49,36.22,77.0,36.0,40.0,10.29,TR,1591198450
Puerto Baquerizo Moreno,-0.9,-89.6,77.0,83.0,40.0,9.17,EC,1591198208
Seddon,-37.81,144.89,54.0,66.0,90.0,8.05,AU,1591198371
Palabuhanratu,,,,,,,,
Barcelona,41.39,2.16,75.99,78.0,20.0,17.22,ES,1591198379
Bur Gabo,,,,,,,,
Leua,48.22,18.61,75.0,24.0,19.0,9.17,SK,1591198451
Mecca,21.43,39.83,91.83,19.0,0.0,14.74,SA,1591198214
Birin,26.89,88.07,63.82,78.0,99.0,4.16,NP,1591198451
Hirara,24.8,125.28,81.68,87.0,89.0,12.93,JP,1591198451
Hay River,60.82,-115.8,39.2,61.0,75.0,9.17,CA,1591198451
Ostrovnoy,68.05,39.51,58.86,65.0,35.0,3.0,RU,1591198451
Berezovyy,51.67,135.7,43.93,91.0,100.0,4.74,RU,1591198451
Iquique,-20.22,-70.14,66.2,55.0,75.0,9.17,CL,1591198452
Formosa,-26.18,-58.18,66.2,48.0,0.0,4.7,AR,1591198452
Coihueco,-36.62,-71.83,42.8,100.0,90.0,2.24,CL,1591198452
Guaratinga,-16.57,-39.57,80.6,78.0,40.0,6.93,BR,1591198452
Sovetskiy,61.36,63.58,49.73,49.0,56.0,5.28,RU,1591198452
Waingapu,-9.66,120.26,76.14,78.0,41.0,12.21,ID,1591198452
Moussoro,13.64,16.49,108.97,7.0,13.0,3.2,TD,1591198452
Megion,61.03,76.11,46.4,75.0,20.0,6.71,RU,1591198453
Cayenne,4.93,-52.33,84.2,74.0,75.0,13.87,GF,1591198453
Vladimir,56.14,40.4,57.06,86.0,100.0,12.8,RU,1591198453
Haimen,23.19,116.61,80.6,94.0,0.0,4.47,CN,1591198453
San Pedro,14.35,121.02,87.01,74.0,20.0,1.12,PH,1591198453
Katangli,51.71,143.23,41.79,99.0,100.0,5.97,RU,1591198453
Sorong,-0.88,131.25,78.66,87.0,97.0,10.25,ID,1591198453
Solovetskiy,,,,,,,,
North Augusta,33.5,-81.97,84.0,54.0,1.0,8.05,US,1591198226
Fairmont,39.49,-80.14,80.6,51.0,1.0,14.99,US,1591198454
Itacurubi Del Rosario,-24.5,-56.68,73.15,50.0,0.0,5.66,PY,1591198454
Ponta Delgada,37.73,-25.67,66.2,72.0,40.0,12.75,PT,1591198454
Bullhead City,35.15,-114.57,87.01,20.0,75.0,0.04,US,1591198454
Murgab,37.5,61.97,102.2,14.0,0.0,4.7,TM,1591198454
Clinton,42.59,-82.92,80.01,65.0,75.0,14.99,US,1591198398
Zhigansk,66.77,123.37,49.75,48.0,33.0,9.31,RU,1591198455
Batemans Bay,-35.72,150.18,30.99,92.0,15.0,7.27,AU,1591198455
Minab,27.15,57.08,100.4,42.0,40.0,9.17,IR,1591198455
Tilichiki,60.47,166.1,34.68,92.0,0.0,1.66,RU,1591198455
Alyangula,-13.85,136.42,64.4,100.0,30.0,15.35,AU,1591198455
Mendi,-6.18,143.65,55.26,99.0,95.0,1.63,PG,1591198456
Buckeye,33.37,-112.58,93.99,19.0,1.0,4.7,US,1591198200
Qingdao,36.1,120.37,79.0,60.0,0.0,8.95,CN,1591198456
Gambo,4.65,22.26,78.04,87.0,100.0,3.65,CF,1591198456
Naryan-Mar,67.67,53.09,64.36,44.0,2.0,7.36,RU,1591198456
Kirkwall,58.98,-2.96,50.0,71.0,75.0,13.87,GB,1591198456
Lhokseumawe,5.18,97.15,79.95,83.0,100.0,4.63,ID,1591198456
Bose,45.46,8.01,75.0,63.0,98.0,1.01,IT,1591198457
Langen,49.99,8.67,78.01,36.0,20.0,12.75,DE,1591198457
Dhidhdhoo,6.88,73.1,83.53,79.0,100.0,15.48,MV,1591198301
Plouzane,48.38,-4.62,57.2,93.0,96.0,12.75,FR,1591198457
Piacabucu,-10.41,-36.43,82.67,73.0,38.0,7.2,BR,1591198457
Puerto Escondido,15.85,-97.07,82.4,83.0,75.0,3.36,MX,1591198457
Anadyr,64.75,177.48,33.8,86.0,72.0,2.24,RU,1591198457
Talnakh,69.49,88.4,51.8,66.0,96.0,20.13,RU,1591198458
Minggang,32.46,114.05,75.27,48.0,69.0,8.86,CN,1591198458
Brigantine,39.41,-74.36,87.8,40.0,1.0,12.75,US,1591198458
Pastavy,55.12,26.83,59.0,77.0,62.0,8.3,BY,1591198458
Porto Walter,-8.27,-72.74,85.66,62.0,46.0,3.24,BR,1591198458
Beyneu,45.32,55.2,96.06,20.0,98.0,4.29,KZ,1591198458
Tungkang,,,,,,,,
Bom Jesus,-9.07,-44.36,87.67,54.0,99.0,5.95,BR,1591198459
Novyye Burasy,52.13,46.07,69.01,68.0,92.0,8.99,RU,1591198459
Coolum Beach,-26.53,153.1,57.0,75.0,59.0,1.99,AU,1591198459
Icanti,,,,,,,,
Bakhtiyarpur,25.47,85.52,86.0,74.0,75.0,7.09,IN,1591198459
Maniitsoq,65.42,-52.9,41.05,89.0,100.0,3.06,GL,1591198459
Port-Cartier,50.03,-66.87,45.0,81.0,90.0,11.41,CA,1591198459
Olavarria,-36.89,-60.32,51.01,90.0,100.0,1.99,AR,1591198460
Port Augusta,-32.5,137.77,50.0,87.0,0.0,8.05,AU,1591198460
Gympie,-26.19,152.66,53.01,79.0,24.0,1.01,AU,1591198460
Bambanglipuro,-7.95,110.28,79.2,85.0,100.0,7.09,ID,1591198460
Kurilsk,45.23,147.88,47.64,91.0,32.0,2.57,RU,1591198460
Kropotkin,45.44,40.58,64.94,84.0,100.0,6.93,RU,1591198236
Salalah,17.02,54.09,86.0,84.0,40.0,9.17,OM,1591198460
Rio Pardo,-29.99,-52.38,62.82,67.0,42.0,6.53,BR,1591198461
Havoysund,71.0,24.66,46.4,70.0,9.0,8.05,NO,1591198461
Shakiso,5.75,38.92,60.17,96.0,99.0,2.42,ET,1591198461
Manhattan,40.78,-73.97,78.01,64.0,1.0,8.57,US,1591198202
Amarante Do Maranhao,-5.57,-46.74,85.75,61.0,9.0,6.96,BR,1591198461
Yulara,-25.24,130.99,50.0,57.0,9.0,8.05,AU,1591198461
Ramanathapuram,9.38,78.83,85.78,69.0,100.0,23.53,IN,1591198461
Itarema,-2.92,-39.92,91.4,59.0,40.0,13.87,BR,1591198462
Sol-Iletsk,51.16,54.99,72.57,62.0,100.0,12.53,RU,1591198462
Erzin,36.96,36.2,71.01,71.0,10.0,14.0,TR,1591198462
Hauterive,46.09,3.45,68.0,77.0,64.0,6.93,FR,1591198462
Remanso,-9.62,-42.08,84.47,56.0,72.0,10.04,BR,1591198462
Matagami,49.75,-77.63,59.0,54.0,75.0,2.24,CA,1591198462
Charters Towers,-20.1,146.27,51.26,50.0,44.0,9.6,AU,1591198462
Opuwo,-18.06,13.84,76.55,23.0,50.0,4.16,NA,1591198463
Paracuru,-3.41,-39.03,84.0,68.0,13.0,20.0,BR,1591198463
Grand Centre,,,,,,,,
Grand Island,40.92,-98.34,82.4,44.0,1.0,11.41,US,1591198393
Igdir,39.92,44.05,78.8,27.0,20.0,6.93,TR,1591198463
Kabare,-2.47,28.82,64.53,78.0,100.0,3.24,CD,1591198463
San Carlos De Bariloche,-41.15,-71.31,39.2,78.0,40.0,8.05,AR,1591198463
Noumea,-22.28,166.46,75.0,88.0,90.0,3.36,NC,1591198444
Indiana,40.0,-86.25,80.6,69.0,1.0,10.29,US,1591198464
Belaya Gora,68.53,146.42,46.42,56.0,35.0,8.14,RU,1591198464
Skalistyy,,,,,,,,
Bargal,,,,,,,,
Plettenberg Bay,-34.05,23.37,60.26,87.0,100.0,2.3,ZA,1591198464
Hunza,,,,,,,,
Akcakoca,41.09,31.12,61.25,75.0,90.0,3.8,TR,1591198465
Plastun,44.76,136.29,51.69,86.0,100.0,5.19,RU,1591198465
Lafiagi,8.87,5.42,95.83,45.0,81.0,4.72,NG,1591198465
Dunedin,-45.87,170.5,51.01,91.0,100.0,9.22,NZ,1591198204
Tabuk,17.42,121.44,76.96,84.0,71.0,3.96,PH,1591198465
Candelaria,13.93,121.42,80.01,84.0,77.0,1.36,PH,1591198465
Sao Miguel Do Araguaia,-13.28,-50.16,86.77,52.0,1.0,3.6,BR,1591198465
Bodden Town,19.28,-81.25,86.0,84.0,40.0,14.99,KY,1591198466
Khash,28.22,61.22,83.25,12.0,0.0,9.17,IR,1591198466
Joao Pinheiro,-17.74,-46.17,79.0,55.0,57.0,4.52,BR,1591198466
Sisimiut,66.94,-53.67,41.76,75.0,100.0,12.37,GL,1591198466
Manokwari,-0.87,134.08,79.83,77.0,94.0,4.94,ID,1591198466
Mezhdurechensk,53.69,88.06,48.29,82.0,96.0,0.69,RU,1591198301
Athabasca,54.72,-113.29,52.29,70.0,100.0,15.61,CA,1591198466
Sayyan,15.17,44.32,66.22,59.0,100.0,10.31,YE,1591198466
Cockburn Town,21.46,-71.14,84.2,70.0,40.0,10.29,TC,1591198467
Cabedelo,-6.98,-34.83,86.0,66.0,75.0,10.29,BR,1591198467
Fethiye,36.62,29.12,71.6,64.0,40.0,9.17,TR,1591198311
Sakaiminato,35.55,133.23,66.2,93.0,75.0,2.24,JP,1591198467
Puyang,29.46,119.89,73.65,92.0,100.0,3.8,CN,1591198467
Isiro,2.77,27.62,73.33,87.0,100.0,2.39,CD,1591198467
Brownfield,33.18,-102.27,80.01,59.0,13.0,6.8,US,1591198383
Nyuksenitsa,60.41,44.24,59.9,59.0,85.0,4.23,RU,1591198468
Vangaindrano,-23.35,47.6,67.37,88.0,8.0,6.67,MG,1591198468
Ndiekro,,,,,,,,
Anamur,36.08,32.84,71.6,78.0,40.0,8.05,TR,1591198468
Srednekolymsk,67.45,153.68,42.71,68.0,64.0,5.37,RU,1591198468
Bow Island,49.87,-111.37,60.01,51.0,40.0,12.75,CA,1591198468
Tokur,53.13,132.9,38.82,94.0,100.0,4.38,RU,1591198468
Novyy Urengoy,66.08,76.63,44.17,63.0,95.0,14.76,RU,1591198469
Terrace,54.52,-128.6,46.4,87.0,90.0,13.87,CA,1591198371
Binga,-17.62,27.34,67.14,58.0,0.0,4.18,ZW,1591198469
Muros,42.78,-9.06,71.01,86.0,84.0,7.0,ES,1591198469
Solikamsk,59.62,56.77,54.07,57.0,0.0,2.82,RU,1591198469
Ossora,59.24,163.07,38.12,81.0,71.0,3.89,RU,1591198470
Morondava,-20.28,44.28,76.35,67.0,0.0,9.62,MG,1591198470
Gweru,-19.45,29.82,60.4,39.0,0.0,8.84,ZW,1591198470
Menongue,-14.66,17.69,72.36,30.0,38.0,3.76,AO,1591198470
